California Department of Finance,,,,,,,,,,,,,,,,Census 2010,
Demographic Research Unit,,,,,,,,,,,,,,,,Demographic Profile Summary File,
State Census Data Center,,,,,,,,,,,,,,,,Generated on 8/25/2011,
Phone:  916-323-4086,,,,,,,,,,,,,,,,,
"Table 1:  Population, Age and Sex Characteristics,  April 1, 2010",,,,,,,,,,,,,,,,,
Zip Code Tabulation Areas in California,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Geography,Total population,Male,Female,Median age (years),Male Median age (years),Female Median age (years),Average Household size,Average Family size,Persons Under 5 years,Persons Under 18 years,Persons Age 21+,Persons Age 55+,Persons Age 60+,Persons Age 65+,Percent Population Female,Percent Population Less than 18,
California ,"37,253,956","18,517,830","18,736,126",35.2,34,36.3,2.90,3.45,"2,531,333","9,295,040","26,228,272","8,283,007","6,078,711","4,246,514",50.3%,25.0%,
,,,,,,,,,,,,,,,,,
ZCTA5 89010 (California part only),31,18,13,26.5,24.5,26.5,4.43,4.43,4,13,17,2,1,1,41.9%,41.9%,
ZCTA5 89019 (California part only),69,39,30,38.3,38.5,38,2.88,3.93,8,18,49,17,11,6,43.5%,26.1%,
ZCTA5 89060 (California part only),30,15,15,44,38.5,48.5,3.75,3.75,5,7,23,12,7,4,50.0%,23.3%,
ZCTA5 89061 (California part only),51,23,28,47.5,40.5,50,2.43,2.92,2,13,38,19,16,13,54.9%,25.5%,
ZCTA5 89439 (California part only),80,41,39,57.5,57.5,57.5,1.95,2.4,2,6,72,46,35,20,48.8%,7.5%,
ZCTA5 90001,"57,110","28,468","28,642",26.6,26.1,27.1,4.40,4.53,"5,733","19,979","33,962","6,970","4,797","3,179",50.2%,35.0%,
ZCTA5 90002,"51,223","24,876","26,347",25.5,24.6,26.5,4.36,4.59,"5,318","18,504","29,665","6,190","4,253","2,922",51.4%,36.1%,
ZCTA5 90003,"66,266","32,631","33,635",26.3,25.5,27.1,4.22,4.45,"6,837","23,475","39,115","7,698","5,126","3,418",50.8%,35.4%,
ZCTA5 90004,"62,180","31,302","30,878",34.8,33.7,36,2.73,3.37,"3,972","13,295","46,400","11,720","8,158","5,419",49.7%,21.4%,
ZCTA5 90005,"37,681","19,299","18,382",33.9,32.6,35.6,2.50,3.22,"2,339","7,664","28,465","6,961","5,113","3,657",48.8%,20.3%,
ZCTA5 90006,"59,185","30,254","28,931",32.4,31.6,33.3,3.13,3.63,"4,464","14,749","41,701","10,202","7,222","4,724",48.9%,24.9%,
ZCTA5 90007,"40,920","20,915","20,005",24,23.9,24.2,3.00,3.8,"2,093","7,352","27,667","5,044","3,651","2,563",48.9%,18.0%,
ZCTA5 90008,"32,327","14,477","17,850",39.7,36.5,42.1,2.33,3.1,"2,068","7,297","23,759","8,889","6,774","4,942",55.2%,22.6%,
ZCTA5 90010,"3,800","1,874","1,926",37.8,37.5,38.2,1.87,2.69,145,384,"3,336",959,739,530,50.7%,10.1%,
ZCTA5 90011,"103,892","52,794","51,098",26.2,26,26.5,4.67,4.75,"10,729","36,444","61,485","11,035","7,331","4,783",49.2%,35.1%,
ZCTA5 90012,"31,103","19,493","11,610",36.3,35.2,38.8,2.12,3.1,853,"3,116","26,557","7,112","5,616","4,355",37.3%,10.0%,
ZCTA5 90013,"11,772","7,629","4,143",44.6,45.7,41.5,1.26,2.27,161,405,"11,195","3,314","2,170","1,463",35.2%,3.4%,
ZCTA5 90014,"7,005","4,471","2,534",44.8,45.6,41.7,1.34,2.3,71,209,"6,693","2,212","1,633","1,218",36.2%,3.0%,
ZCTA5 90015,"18,986","9,833","9,153",31.3,31.7,30.8,2.45,3.51,"1,206","4,211","13,586","2,995","2,156","1,521",48.2%,22.2%,
ZCTA5 90016,"47,596","22,778","24,818",33.9,31.8,35.8,2.93,3.58,"3,405","12,295","33,067","9,439","6,828","4,767",52.1%,25.8%,
ZCTA5 90017,"23,768","12,818","10,950",29.4,29.6,29.2,2.53,3.48,"1,754","5,505","16,781","3,306","2,412","1,743",46.1%,23.2%,
ZCTA5 90018,"49,310","23,770","25,540",33.2,31.2,35.3,3.12,3.72,"3,583","12,944","34,134","9,819","7,146","5,154",51.8%,26.3%,
ZCTA5 90019,"64,458","31,442","33,016",35.8,34.4,37.3,2.70,3.4,"4,021","13,942","47,984","13,917","10,090","7,087",51.2%,21.6%,
ZCTA5 90020,"38,967","19,381","19,586",34.6,34,35.2,2.35,3.12,"2,263","7,557","30,079","6,591","4,602","2,876",50.3%,19.4%,
ZCTA5 90021,"3,951","2,790","1,161",44.3,46,38.3,1.57,3.27,108,400,"3,456",993,618,320,29.4%,10.1%,
ZCTA5 90022,"67,179","33,216","33,963",29.8,28.6,31,3.94,4.21,"5,670","20,499","42,976","11,248","8,392","6,053",50.6%,30.5%,
ZCTA5 90023,"45,903","23,037","22,866",28.4,27.7,29.1,4.26,4.41,"4,153","14,803","28,536","6,783","4,937","3,562",49.8%,32.2%,
ZCTA5 90024,"47,452","22,248","25,204",23.6,24.1,23.1,2.03,2.66,"1,076","3,235","32,348","8,616","7,073","5,579",53.1%,6.8%,
ZCTA5 90025,"42,147","20,859","21,288",34.7,34.2,35.2,1.97,2.78,"1,961","4,887","36,266","9,055","6,865","4,988",50.5%,11.6%,
ZCTA5 90026,"67,869","34,515","33,354",34,33.6,34.4,2.68,3.5,"3,915","13,869","51,256","12,262","8,769","6,102",49.1%,20.4%,
ZCTA5 90027,"45,151","22,362","22,789",38.3,38.1,38.6,1.99,2.91,"1,741","5,538","38,476","11,261","8,497","6,277",50.5%,12.3%,
ZCTA5 90028,"28,714","16,056","12,658",34,34,33.9,1.78,2.96,790,"2,846","24,256","5,436","4,091","3,020",44.1%,9.9%,
ZCTA5 90029,"38,617","19,575","19,042",34.6,33.3,36.2,2.70,3.44,"2,167","7,850","29,123","7,883","5,739","4,061",49.3%,20.3%,
ZCTA5 90031,"39,316","19,546","19,770",33.5,32.3,34.6,3.49,3.93,"2,774","10,306","27,134","8,018","5,920","4,206",50.3%,26.2%,
ZCTA5 90032,"45,786","22,564","23,222",32.4,31.3,33.5,3.52,3.89,"3,231","12,098","31,039","9,074","6,764","4,809",50.7%,26.4%,
ZCTA5 90033,"48,852","24,425","24,427",29.2,28,30.5,3.66,4.1,"4,242","15,495","30,697","8,164","6,074","4,423",50.0%,31.7%,
ZCTA5 90034,"57,964","28,828","29,136",32.8,32.3,33.3,2.23,3.07,"3,221","9,847","46,307","9,753","6,854","4,472",50.3%,17.0%,
ZCTA5 90035,"28,418","13,326","15,092",37.5,36.7,38.3,2.19,3.05,"1,873","5,336","22,426","7,378","5,644","4,137",53.1%,18.8%,
ZCTA5 90036,"36,865","17,914","18,951",33.9,34.6,33.3,1.96,2.98,"2,127","5,819","30,257","6,383","4,744","3,377",51.4%,15.8%,
ZCTA5 90037,"62,276","31,187","31,089",28.8,28,29.7,3.85,4.2,"5,553","19,043","39,731","8,533","5,731","3,889",49.9%,30.6%,
ZCTA5 90038,"28,917","15,383","13,534",33.1,32.6,33.8,2.41,3.33,"1,555","5,583","22,018","4,774","3,323","2,191",46.8%,19.3%,
ZCTA5 90039,"28,514","14,383","14,131",38.8,38.5,39.1,2.47,3.27,"1,584","5,066","22,651","6,983","5,232","3,759",49.6%,17.8%,
ZCTA5 90040,"12,520","6,129","6,391",31.2,29.7,32.7,3.75,4.17,"1,005","3,745","8,154","2,459","1,860","1,361",51.0%,29.9%,
ZCTA5 90041,"27,425","13,212","14,213",39,37.3,40.4,2.71,3.3,"1,354","5,044","20,525","7,292","5,477","3,900",51.8%,18.4%,
ZCTA5 90042,"62,430","30,836","31,594",33.6,32.7,34.4,3.11,3.68,"4,435","15,563","44,094","11,995","8,549","5,785",50.6%,24.9%,
ZCTA5 90043,"44,789","20,561","24,228",38.7,35.6,40.8,2.76,3.39,"2,676","10,869","31,870","11,562","8,622","6,299",54.1%,24.3%,
ZCTA5 90044,"89,779","43,128","46,651",28.6,27.2,29.9,3.55,4.01,"8,270","28,892","55,933","13,415","9,469","6,566",52.0%,32.2%,
ZCTA5 90045,"39,480","18,958","20,522",35.6,34.9,36.3,2.37,2.97,"2,102","7,004","28,577","8,728","6,306","4,425",52.0%,17.7%,
ZCTA5 90046,"48,581","25,854","22,727",38.5,39.2,37.5,1.69,2.58,"1,393","3,761","44,140","11,635","9,042","6,605",46.8%,7.7%,
ZCTA5 90047,"48,606","22,129","26,477",36.2,32.7,38.8,2.99,3.51,"3,134","12,546","33,614","11,651","8,797","6,409",54.5%,25.8%,
ZCTA5 90048,"21,397","10,132","11,265",39.2,39.3,39.1,1.77,2.67,946,"2,169","18,981","5,837","4,665","3,586",52.6%,10.1%,
ZCTA5 90049,"35,482","16,359","19,123",41.3,41.4,41.1,2.09,2.81,"1,602","5,624","28,958","11,212","8,826","6,573",53.9%,15.9%,
ZCTA5 90056,"7,827","3,436","4,391",48.4,46.7,49.5,2.32,2.86,297,"1,381","6,218","2,988","2,378","1,729",56.1%,17.6%,
ZCTA5 90057,"44,998","24,300","20,698",31.2,30.4,32.4,2.81,3.48,"3,419","10,364","32,425","7,408","5,467","4,003",46.0%,23.0%,
ZCTA5 90058,"3,223","1,555","1,668",26,23.7,28.2,3.60,4.08,334,"1,151","1,869",418,272,173,51.8%,35.7%,
ZCTA5 90059,"40,952","19,623","21,329",25.7,24.3,27,4.19,4.43,"4,207","14,765","23,757","5,217","3,509","2,337",52.1%,36.1%,
ZCTA5 90061,"26,872","13,049","13,823",28.4,27,29.8,3.85,4.19,"2,469","8,725","16,589","4,087","2,871","2,085",51.4%,32.5%,
ZCTA5 90062,"32,821","15,720","17,101",31.8,29.9,33.7,3.55,4,"2,466","9,185","21,870","5,922","4,232","2,957",52.1%,28.0%,
ZCTA5 90063,"55,758","27,843","27,915",29,28.3,29.8,4.19,4.44,"4,958","17,580","35,119","9,176","6,791","4,961",50.1%,31.5%,
ZCTA5 90064,"25,403","12,297","13,106",40,38.8,41.3,2.29,2.97,"1,482","4,814","19,899","7,160","5,478","3,947",51.6%,19.0%,
ZCTA5 90065,"45,527","22,873","22,654",36.1,35.3,36.8,3.12,3.66,"3,104","10,939","32,813","10,114","7,368","5,041",49.8%,24.0%,
ZCTA5 90066,"55,277","27,714","27,563",37.3,36.3,38.4,2.29,3.01,"3,356","9,868","43,880","12,998","9,686","6,881",49.9%,17.9%,
ZCTA5 90067,"2,424","1,074","1,350",65.3,64.7,65.9,1.61,2.26,55,120,"2,284","1,566","1,427","1,229",55.7%,5.0%,
ZCTA5 90068,"22,286","12,018","10,268",39.4,40.2,38.3,1.80,2.63,881,"2,240","19,655","5,125","3,696","2,475",46.1%,10.1%,
ZCTA5 90069,"20,483","12,153","8,330",41.5,42.3,40,1.53,2.41,456,988,"19,302","5,185","3,864","2,796",40.7%,4.8%,
ZCTA5 90071,15,13,2,45.5,45.5,36.5,,0,0,0,15,5,1,0,13.3%,0.0%,
ZCTA5 90073,539,506,33,56.9,56.9,56.5,1.25,2,1,1,535,295,215,124,6.1%,0.2%,
ZCTA5 90077,"9,377","4,594","4,783",47.9,48,47.7,2.57,2.95,433,"1,933","7,218","3,565","2,800","1,987",51.0%,20.6%,
ZCTA5 90079,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 90089,"3,217","1,436","1,781",19.3,19.3,19.2,1.94,2,0,40,310,1,1,1,55.4%,1.2%,
ZCTA5 90090,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,
ZCTA5 90094,"5,464","2,559","2,905",33.7,34,33.3,1.85,2.55,431,699,"4,644",758,577,373,53.2%,12.8%,
ZCTA5 90095,3,2,1,52.5,38.5,52.5,1.50,2,0,0,2,1,0,0,33.3%,0.0%,
ZCTA5 90201,"101,279","50,658","50,621",27.8,27.1,28.4,4.16,4.3,"9,203","33,980","61,640","12,964","8,841","5,804",50.0%,33.6%,
ZCTA5 90210,"21,741","10,292","11,449",47.5,47.9,47.1,2.49,3.06,965,"4,295","16,839","8,323","6,673","4,937",52.7%,19.8%,
ZCTA5 90211,"8,434","3,849","4,585",40.6,40,41.1,2.28,3.12,318,"1,669","6,484","2,299","1,770","1,317",54.4%,19.8%,
ZCTA5 90212,"11,555","5,211","6,344",41.2,40.5,41.8,2.08,2.91,463,"2,228","9,000","3,310","2,536","1,826",54.9%,19.3%,
ZCTA5 90220,"49,328","23,773","25,555",29.8,28.1,31.6,3.85,4.21,"4,145","15,613","31,060","8,405","6,010","4,341",51.8%,31.7%,
ZCTA5 90221,"53,704","26,346","27,358",26.7,26.1,27.3,4.57,4.66,"5,322","18,518","32,068","6,996","4,850","3,246",50.9%,34.5%,
ZCTA5 90222,"31,869","15,375","16,494",27.3,26.3,28.2,4.21,4.48,"2,965","10,759","19,230","4,786","3,413","2,423",51.8%,33.8%,
ZCTA5 90230,"31,766","14,932","16,834",39.1,36.7,41.2,2.45,3.16,"1,821","6,695","24,007","8,381","6,345","4,588",53.0%,21.1%,
ZCTA5 90232,"15,149","7,333","7,816",38.6,36.9,40,2.28,3.06,761,"2,766","11,945","3,694","2,749","1,907",51.6%,18.3%,
ZCTA5 90240,"25,876","12,501","13,375",35.5,34,36.9,3.36,3.71,"1,660","6,674","17,977","5,804","4,396","3,170",51.7%,25.8%,
ZCTA5 90241,"42,399","20,466","21,933",33.9,32.4,35.3,3.09,3.54,"2,881","11,060","29,316","8,612","6,365","4,538",51.7%,26.1%,
ZCTA5 90242,"43,497","21,207","22,290",31.6,30.5,32.8,3.41,3.8,"3,273","12,238","29,065","7,748","5,585","3,871",51.2%,28.1%,
ZCTA5 90245,"16,654","8,304","8,350",39.2,38.4,39.8,2.34,3.02,831,"3,719","12,444","3,557","2,509","1,678",50.1%,22.3%,
ZCTA5 90247,"47,487","23,217","24,270",35.5,34.1,36.8,2.96,3.54,"3,300","11,676","33,853","10,830","8,203","6,012",51.1%,24.6%,
ZCTA5 90248,"9,947","4,823","5,124",41.2,39.8,42.5,2.89,3.36,585,"2,078","7,506","2,993","2,324","1,785",51.5%,20.9%,
ZCTA5 90249,"26,669","12,897","13,772",37.2,35.9,38.3,2.98,3.45,"1,712","6,425","19,126","6,398","4,757","3,313",51.6%,24.1%,
ZCTA5 90250,"93,193","45,113","48,080",31.9,30.9,32.8,2.98,3.56,"7,395","25,436","63,494","15,548","10,838","7,225",51.6%,27.3%,
ZCTA5 90254,"19,506","10,273","9,233",37,37.3,36.6,2.04,2.8,992,"3,093","16,147","3,807","2,712","1,757",47.3%,15.9%,
ZCTA5 90255,"75,066","37,525","37,541",29.1,28.2,29.9,4.06,4.26,"6,491","23,541","47,441","11,077","7,716","5,183",50.0%,31.4%,
ZCTA5 90260,"34,924","17,509","17,415",32.7,31.6,33.7,3.33,3.79,"2,584","9,302","23,896","5,747","3,999","2,616",49.9%,26.6%,
ZCTA5 90262,"69,745","33,919","35,826",27.8,27,28.6,4.57,4.62,"6,324","22,957","42,922","8,869","5,809","3,773",51.4%,32.9%,
ZCTA5 90263,"1,612",665,947,19.7,19.7,19.6,,0,0,11,283,0,0,0,58.7%,0.7%,
ZCTA5 90265,"18,116","9,159","8,957",46.5,46.3,46.7,2.39,2.87,603,"3,462","14,059","6,232","4,626","3,073",49.4%,19.1%,
ZCTA5 90266,"35,135","17,605","17,530",40.9,40.7,41,2.50,3.1,"2,031","8,725","25,727","8,998","6,630","4,457",49.9%,24.8%,
ZCTA5 90270,"27,372","13,992","13,380",27.9,27.4,28.5,4.16,4.3,"2,585","8,917","16,899","3,568","2,510","1,642",48.9%,32.6%,
ZCTA5 90272,"22,986","10,952","12,034",47.3,46.8,47.7,2.49,2.99,"1,236","5,603","16,913","8,348","6,438","4,643",52.4%,24.4%,
ZCTA5 90274,"25,209","12,199","13,010",49.4,49.4,49.4,2.66,3.01,877,"5,798","18,808","9,935","7,935","6,033",51.6%,23.0%,
ZCTA5 90275,"41,804","20,283","21,521",47.8,47.1,48.4,2.65,3.03,"1,545","9,284","31,334","15,421","12,429","9,695",51.5%,22.2%,
ZCTA5 90277,"35,293","17,521","17,772",42,41.9,42.1,2.07,2.78,"1,676","5,643","28,887","9,630","7,020","4,794",50.4%,16.0%,
ZCTA5 90278,"40,071","19,848","20,223",38.2,37.6,38.8,2.49,3.05,"2,939","8,757","30,270","8,418","5,857","3,843",50.5%,21.9%,
ZCTA5 90280,"94,396","46,321","48,075",29.4,28.5,30.2,4.05,4.24,"7,963","29,374","59,974","14,491","9,976","6,623",50.9%,31.1%,
ZCTA5 90290,"6,368","3,180","3,188",45,45.6,44.5,2.44,2.9,316,"1,347","4,895","1,875","1,245",707,50.1%,21.2%,
ZCTA5 90291,"28,341","14,757","13,584",37.6,37.8,37.4,1.95,2.85,"1,312","3,696","24,052","5,595","3,946","2,501",47.9%,13.0%,
ZCTA5 90292,"21,576","10,729","10,847",41.2,41.4,41,1.70,2.42,823,"1,751","19,537","6,426","5,041","3,569",50.3%,8.1%,
ZCTA5 90293,"12,132","5,890","6,242",40.4,39.8,40.9,1.83,2.54,488,"1,169","10,792","3,255","2,402","1,577",51.5%,9.6%,
ZCTA5 90301,"36,568","17,633","18,935",32.6,31.2,33.9,3.01,3.67,"2,693","9,845","24,947","6,795","4,787","3,158",51.8%,26.9%,
ZCTA5 90302,"29,415","13,803","15,612",32.8,31.3,34.1,2.74,3.39,"2,194","7,770","20,348","5,227","3,574","2,240",53.1%,26.4%,
ZCTA5 90303,"26,176","12,733","13,443",30.4,28.9,31.9,3.58,3.97,"2,154","7,849","16,968","4,476","3,239","2,192",51.4%,30.0%,
ZCTA5 90304,"28,210","14,503","13,707",28.1,27.9,28.3,4.22,4.45,"2,552","9,193","17,490","3,608","2,411","1,527",48.6%,32.6%,
ZCTA5 90305,"14,853","6,552","8,301",43.3,40.2,45.4,2.46,3.07,760,"3,011","11,322","4,545","3,472","2,530",55.9%,20.3%,
ZCTA5 90401,"6,722","3,524","3,198",37.8,38.2,37.3,1.49,2.46,163,459,"6,113","1,628","1,292",961,47.6%,6.8%,
ZCTA5 90402,"12,250","5,809","6,441",47,46.7,47.2,2.31,2.98,606,"2,683","9,357","4,496","3,466","2,509",52.6%,21.9%,
ZCTA5 90403,"24,525","11,426","13,099",40.8,40.4,41.1,1.74,2.65,"1,006","3,079","21,079","6,958","5,309","3,928",53.4%,12.6%,
ZCTA5 90404,"21,360","10,292","11,068",37.4,35.8,39,2.01,2.92,888,"3,053","17,464","5,138","3,875","2,862",51.8%,14.3%,
ZCTA5 90405,"27,186","13,364","13,822",40.8,40.3,41.4,1.87,2.77,"1,156","3,812","22,654","7,373","5,399","3,663",50.8%,14.0%,
ZCTA5 90501,"43,180","21,483","21,697",35,33.9,36.1,2.94,3.49,"2,957","10,872","30,402","8,555","6,083","4,223",50.2%,25.2%,
ZCTA5 90502,"18,010","8,811","9,199",40.2,38.4,42,2.94,3.48,"1,111","3,545","13,818","5,042","3,842","2,814",51.1%,19.7%,
ZCTA5 90503,"44,383","21,481","22,902",40.8,39.8,41.7,2.55,3.12,"2,416","9,874","33,179","11,552","8,711","6,408",51.6%,22.2%,
