Geography,Total Population,Total Population of One Race,Asian,,Native Hawaiian and Other Pacific Islander (NHOPI),Total Population of Two or More Races,White,Black or African American,American Indian and Alaska Native,Total Asian,Asian Indian,Chinese,Filipino,Japanese,Korean,Vietnamese,Other Asian,Total NHOPI,Native Hawaiian,Guamanian or Chamorro,Samoan,Other Pacific Islander,Some Other Race,
California ,"37,253,956","35,438,572","21,453,934","2,299,072","362,801","4,861,007","528,176","1,253,102","1,195,580","272,528","451,892","581,946","577,783","144,386","21,423","24,299","40,900","57,764","6,317,372","1,815,384"
ZCTA5 89010 (California part only),31,31,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ZCTA5 89019 (California part only),69,64,55,6,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,5
ZCTA5 89060 (California part only),30,28,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
ZCTA5 89061 (California part only),51,44,42,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ZCTA5 89439 (California part only),80,79,78,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
ZCTA5 90001,"57,110","54,985","20,509","6,133",410,145,24,19,38,14,6,4,40,27,9,7,6,5,"27,761","2,125"
ZCTA5 90002,"51,223","49,284","14,392","13,101",371,148,23,21,43,17,11,16,17,33,8,11,11,3,"21,239","1,939"
ZCTA5 90003,"66,266","63,750","19,878","16,181",516,149,44,1,70,3,6,12,13,58,12,26,8,12,"26,968","2,516"
ZCTA5 90004,"62,180","59,402","23,205","2,187",497,"16,704",408,553,"5,658",367,"8,082",116,"1,520",55,10,18,9,18,"16,754","2,778"
ZCTA5 90005,"37,681","35,997","10,953","2,007",317,"12,740",131,466,"1,239",189,"10,021",106,588,40,6,27,1,6,"9,940","1,684"
ZCTA5 90006,"59,185","56,411","18,869","2,179",626,"10,934",111,443,738,274,"8,915",144,309,46,12,1,21,12,"23,757","2,774"
ZCTA5 90007,"40,920","38,741","15,849","4,547",274,"6,317","1,783","2,463",297,220,889,136,529,44,12,11,9,12,"11,710","2,179"
ZCTA5 90008,"32,327","31,069","2,747","22,581",144,829,33,84,106,365,183,11,47,30,8,11,4,7,"4,738","1,258"
ZCTA5 90010,"3,800","3,709",884,167,8,"2,514",35,94,94,32,"2,183",12,64,1,0,0,0,1,135,91
ZCTA5 90011,"103,892","99,508","35,138","9,764","1,219",591,42,81,78,10,241,31,108,37,4,22,4,7,"52,759","4,384"
ZCTA5 90012,"31,103","30,233","8,432","4,260",186,"13,696",252,"7,892",461,715,"2,100",800,"1,476",56,9,8,24,15,"3,603",870
ZCTA5 90013,"11,772","11,263","4,386","3,810",168,"1,835",51,339,149,379,789,42,86,17,6,1,3,7,"1,047",509
ZCTA5 90014,"7,005","6,656","2,813","2,058",89,"1,149",43,123,95,62,755,21,50,11,7,2,1,1,536,349
ZCTA5 90015,"18,986","18,116","6,711","1,334",196,"2,671",121,469,297,73,"1,548",65,98,15,3,3,4,5,"7,189",870
ZCTA5 90016,"47,596","45,221","11,653","17,829",429,"1,473",59,175,306,491,284,23,135,54,10,18,15,11,"13,783","2,375"
ZCTA5 90017,"23,768","22,477","8,266","1,430",481,"3,225",179,353,499,96,"1,924",34,140,24,6,12,1,5,"9,051","1,291"
ZCTA5 90018,"49,310","46,984","12,825","15,663",471,"1,821",63,89,235,323,965,60,86,65,10,23,19,13,"16,139","2,326"
ZCTA5 90019,"64,458","61,350","19,321","15,249",577,"10,149",233,441,"1,400",727,"6,796",133,419,59,5,12,18,24,"15,995","3,108"
ZCTA5 90020,"38,967","37,565","9,486","2,270",222,"18,515",576,476,"3,083",257,"12,225",52,"1,846",31,10,13,3,5,"7,041","1,402"
ZCTA5 90021,"3,951","3,806","1,620","1,242",49,158,15,44,20,31,25,10,13,4,2,1,0,1,733,145
ZCTA5 90022,"67,179","64,909","35,177",387,858,549,28,163,90,141,24,57,46,36,7,14,7,8,"27,902","2,270"
ZCTA5 90023,"45,903","44,448","22,777",308,560,273,2,51,74,76,26,19,25,32,13,4,0,15,"20,498","1,455"
ZCTA5 90024,"47,452","44,844","29,232","1,018",79,"12,615","1,389","5,181",893,968,"1,971","1,020","1,193",57,16,10,8,23,"1,843","2,608"
ZCTA5 90025,"42,147","39,862","27,257","1,185",210,"8,382",735,"2,576",871,"1,833","1,347",316,704,49,17,7,10,15,"2,779","2,285"
ZCTA5 90026,"67,869","64,516","31,713","2,001",852,"11,759",191,"1,801","6,115",585,"1,250",333,"1,484",84,30,33,6,15,"18,107","3,353"
ZCTA5 90027,"45,151","43,095","31,535","1,412",203,"5,993",361,733,"1,877",533,"1,057",91,"1,341",36,13,3,3,17,"3,916","2,056"
ZCTA5 90028,"28,714","27,292","18,132","2,282",211,"2,396",187,211,736,241,403,69,549,59,19,12,10,18,"4,212","1,422"
ZCTA5 90029,"38,617","36,719","16,947","1,232",343,"6,285",176,263,"3,920",161,"1,011",39,715,40,10,9,12,9,"11,872","1,898"
ZCTA5 90031,"39,316","37,841","14,012",525,427,"9,970",53,"6,025",636,366,430,"1,321","1,139",25,3,9,10,3,"12,882","1,475"
ZCTA5 90032,"45,786","43,908","20,608","1,050",680,"5,120",197,"3,030",625,301,221,377,369,33,8,9,4,12,"16,417","1,878"
ZCTA5 90033,"48,852","46,914","22,458",926,538,"2,124",76,353,499,591,398,77,130,23,9,7,1,6,"20,845","1,938"
ZCTA5 90034,"57,964","54,813","28,752","6,105",501,"11,112","2,008","2,752","1,585","1,288","1,573",297,"1,609",154,27,11,13,103,"8,189","3,151"
ZCTA5 90035,"28,418","27,050","21,614","2,568",82,"1,786",275,352,353,224,341,69,172,17,10,4,0,3,983,"1,368"
ZCTA5 90036,"36,865","35,481","24,801","2,148",74,"7,519","1,045",662,691,421,"4,146",124,430,38,19,6,6,7,901,"1,384"
ZCTA5 90037,"62,276","59,755","16,395","13,893",686,540,33,69,95,26,220,17,80,58,5,32,7,14,"28,183","2,521"
ZCTA5 90038,"28,917","27,452","14,888","1,224",194,"2,348",120,159,"1,034",127,503,76,329,41,6,9,2,24,"8,757","1,465"
ZCTA5 90039,"28,514","27,042","16,118",647,185,"5,239",133,736,"2,900",487,437,122,424,41,14,9,7,11,"4,812","1,472"
ZCTA5 90040,"12,520","11,944","6,886",93,161,140,17,23,56,19,8,1,16,9,2,0,3,4,"4,655",576
ZCTA5 90041,"27,425","25,978","13,477",612,204,"7,778",94,596,"6,039",207,267,195,380,29,19,0,2,8,"3,878","1,447"
ZCTA5 90042,"62,430","59,108","29,742","1,601",716,"7,632",166,"1,799","3,261",353,"1,145",419,489,56,30,6,5,15,"19,361","3,322"
ZCTA5 90043,"44,789","42,867","4,923","29,500",273,380,25,39,143,94,24,12,43,39,6,7,7,19,"7,752","1,922"
ZCTA5 90044,"89,779","86,213","20,135","33,656",666,338,50,32,124,43,34,5,50,81,6,16,19,40,"31,337","3,566"
ZCTA5 90045,"39,480","37,084","24,136","5,605",148,"4,751",746,898,972,891,433,136,675,135,23,27,22,63,"2,309","2,396"
ZCTA5 90046,"48,581","46,768","40,807","1,708",160,"2,642",330,497,508,363,449,138,357,42,12,13,3,14,"1,409","1,813"
ZCTA5 90047,"48,606","46,950","5,734","31,915",223,260,34,53,94,27,23,1,28,54,6,10,6,32,"8,764","1,656"
ZCTA5 90048,"21,397","20,598","17,978",652,37,"1,571",180,315,290,208,356,75,147,15,5,2,7,1,345,799
ZCTA5 90049,"35,482","34,084","29,864",514,48,"3,076",375,"1,002",365,429,519,134,252,27,6,8,2,11,555,"1,398"
ZCTA5 90056,"7,827","7,416","1,050","5,931",20,255,44,52,47,71,15,5,21,3,1,1,0,1,157,411
ZCTA5 90057,"44,998","42,609","12,924","2,087",722,"8,991",177,285,"2,597",146,"5,362",37,387,99,9,80,2,8,"17,786","2,389"
