x0,x1,x2,x3,x4,x5,x6,x7,y
5,4.0,5.0,A0,A0,A0,465.0,625.0,9.0
5,10.0,25.0,A1,A1,A1,550.0,726.0,-17.0
5,9.0,20.0,A1,A2,A2,1105.0,1183.0,1.0
5,10.0,20.0,A2,,A3,550.0,695.0,-18.0
5,4.0,9.0,A2,A4,A4,1335.0,330.0,22.0
5,5.0,2.0,A2,A5,A5,485.0,685.0,-3.0
5,7.0,30.0,A3,A6,A6,940.0,,35.0
5,12.0,5.0,A4,A7,A7,1200.0,1347.0,-14.0
5,7.0,15.0,A4,A8,A8,1110.0,1263.0,3.0
5,2.0,12.0,A2,A9,A9,670.0,790.0,5.0
5,11.0,5.0,A1,A10,A10,570.0,652.0,-21.0
5,2.0,18.0,A0,A11,A11,930.0,1010.0,2.0
5,4.0,20.0,A2,A12,A0,1304.0,1424.0,-32.0
5,1.0,16.0,A3,,A12,795.0,913.0,-2.0
5,11.0,23.0,A5,A13,A13,1000.0,1127.0,-27.0
5,6.0,13.0,A1,A10,A14,1225.0,1312.0,-14.0
5,1.0,22.0,A6,,A9,480.0,700.0,1.0
5,2.0,26.0,A0,A15,A0,560.0,670.0,2.0
5,7.0,21.0,A0,A2,A15,605.0,695.0,11.0
5,8.0,8.0,A6,A4,A16,795.0,1175.0,40.0
5,11.0,14.0,A0,A16,A4,870.0,1000.0,6.0
5,8.0,7.0,A0,,A17,485.0,550.0,-9.0
5,6.0,19.0,A7,,A18,1385.0,410.0,-16.0
5,2.0,7.0,A6,A18,A19,541.0,705.0,117.0
5,4.0,30.0,A8,A19,A0,790.0,929.0,6.0
5,8.0,6.0,A2,A12,A20,815.0,869.0,-4.0
5,3.0,12.0,A0,A20,A21,360.0,575.0,-13.0
5,9.0,16.0,A8,A21,A22,700.0,747.0,-6.0
5,4.0,27.0,A1,A5,A23,1128.0,1341.0,0.0
5,11.0,22.0,A8,A22,A24,1141.0,,23.0
5,8.0,10.0,A3,A13,A25,866.0,923.0,168.0
5,11.0,18.0,A9,A23,A5,950.0,,-4.0
5,7.0,26.0,A6,A24,A19,928.0,1049.0,-5.0
5,4.0,2.0,A2,A9,A26,615.0,753.0,-4.0
5,4.0,3.0,A6,A25,A16,830.0,933.0,-5.0
5,4.0,8.0,A2,A12,A27,622.0,691.0,-2.0
5,5.0,29.0,A1,,A28,924.0,1020.0,-22.0
5,4.0,23.0,A3,A27,A16,1016.0,1043.0,-13.0
5,12.0,1.0,A2,A16,A29,810.0,905.0,-4.0
5,3.0,12.0,A0,,A30,880.0,1195.0,20.0
5,9.0,9.0,A4,A29,A21,797.0,891.0,-8.0
5,1.0,27.0,A10,,A0,485.0,565.0,-3.0
5,7.0,16.0,A11,A31,A31,1209.0,1243.0,25.0
5,10.0,17.0,A0,A32,A32,550.0,845.0,1.0
5,3.0,28.0,A3,,A33,625.0,,16.0
5,10.0,16.0,A6,A33,A34,975.0,1154.0,-12.0
5,3.0,10.0,A6,A14,A35,535.0,614.0,56.0
5,4.0,9.0,A3,A34,A36,380.0,468.0,-21.0
5,4.0,1.0,A0,A35,A37,1005.0,1245.0,-5.0
5,1.0,6.0,A2,,A38,553.0,678.0,-8.0
5,9.0,21.0,A6,A14,A39,910.0,,-9.0
5,5.0,12.0,A2,A9,A15,1135.0,1236.0,-8.0
5,7.0,4.0,A0,A9,A40,1215.0,1300.0,-18.0
5,2.0,20.0,A3,,A21,504.0,610.0,6.0
5,11.0,17.0,A2,A9,A39,860.0,962.0,1.0
5,8.0,31.0,A0,,A5,880.0,1115.0,9.0
5,11.0,18.0,A0,A37,A39,1150.0,1320.0,-6.0
5,1.0,9.0,A0,A38,A41,870.0,950.0,5.0
5,10.0,14.0,A6,A39,A42,660.0,773.0,-25.0
5,3.0,31.0,A7,A40,A18,1150.0,1279.0,17.0
5,10.0,1.0,A5,A41,A43,535.0,617.0,-9.0
5,6.0,3.0,A4,A42,A21,800.0,899.0,315.0
5,11.0,1.0,A0,A43,A37,355.0,,-19.0
5,5.0,8.0,A2,A4,A8,675.0,1005.0,-4.0
5,7.0,8.0,A3,A18,A44,789.0,982.0,14.0
5,7.0,28.0,A6,A34,A18,490.0,608.0,-13.0
5,6.0,30.0,A4,A7,A45,460.0,630.0,7.0
5,12.0,24.0,A6,A14,A46,1000.0,,-14.0
5,11.0,12.0,A0,A20,A47,1165.0,1240.0,-5.0
5,3.0,22.0,A12,A10,A21,921.0,1085.0,-7.0
5,10.0,13.0,A13,A44,A48,1380.0,350.0,-2.0
5,9.0,16.0,A12,A45,A16,1090.0,1299.0,-12.0
5,11.0,28.0,A0,A46,A15,505.0,525.0,-10.0
5,2.0,13.0,A0,A47,A21,430.0,485.0,1.0
5,2.0,21.0,A5,A5,A39,528.0,609.0,-22.0
5,7.0,7.0,A1,A23,A49,1076.0,1249.0,0.0
5,12.0,27.0,A2,A48,A41,680.0,704.0,-5.0
5,10.0,27.0,A3,A49,A50,555.0,612.0,-11.0
5,1.0,14.0,A0,A45,A15,1275.0,1365.0,-20.0
5,2.0,24.0,A5,A50,A19,985.0,,45.0
5,12.0,30.0,A0,,A15,715.0,840.0,39.0
5,10.0,1.0,A6,A41,A51,625.0,854.0,-10.0
5,9.0,25.0,A2,,A52,949.0,1132.0,79.0
5,4.0,20.0,A0,A2,A53,630.0,700.0,-5.0
5,2.0,27.0,A12,,A46,621.0,887.0,46.0
5,4.0,19.0,A11,A53,A31,799.0,843.0,3.0
5,4.0,17.0,A1,A54,A54,520.0,689.0,-8.0
5,11.0,2.0,A1,,A55,420.0,597.0,-19.0
5,3.0,24.0,A2,A24,A36,1315.0,1375.0,-7.0
5,1.0,10.0,A8,A45,A56,1070.0,,-2.0
5,12.0,22.0,A9,A9,A49,360.0,440.0,158.0
5,5.0,24.0,A12,A56,A44,793.0,1100.0,21.0
5,4.0,3.0,A6,,A9,419.0,605.0,-25.0
5,3.0,9.0,A3,A24,A25,925.0,948.0,-7.0
5,11.0,15.0,A2,A12,A57,605.0,697.0,-12.0
5,6.0,7.0,A4,A6,A23,1276.0,1404.0,28.0
5,2.0,6.0,A4,A13,A58,1205.0,1324.0,3.0
5,8.0,5.0,A5,A57,A19,614.0,680.0,-8.0
5,7.0,1.0,A0,A58,A59,1250.0,1405.0,
5,3.0,20.0,A3,,A29,887.0,935.0,5.0
5,4.0,8.0,A5,A14,A17,540.0,621.0,-16.0
5,1.0,7.0,A7,A60,A60,1365.0,1415.0,-5.0
5,1.0,28.0,A11,A53,A31,726.0,770.0,-5.0
5,8.0,21.0,A6,A7,A16,1060.0,1417.0,-18.0
5,9.0,21.0,A1,,A61,1365.0,1435.0,
5,3.0,8.0,A0,A61,A62,395.0,435.0,-4.0
5,8.0,31.0,A5,A62,A19,1080.0,1157.0,-6.0
5,10.0,13.0,A0,A63,A63,855.0,925.0,-10.0
5,7.0,28.0,A5,,A19,460.0,590.0,13.0
5,5.0,4.0,A4,,A23,700.0,768.0,-11.0
5,7.0,2.0,A0,A58,A54,500.0,755.0,-4.0
5,12.0,11.0,A0,,A21,1160.0,1235.0,-12.0
5,8.0,1.0,A2,,A14,1244.0,1368.0,-7.0
5,10.0,1.0,A0,A32,A64,1125.0,1390.0,-7.0
5,9.0,10.0,A6,A9,A19,470.0,559.0,-17.0
5,6.0,16.0,A6,A16,A9,625.0,,-11.0
5,10.0,23.0,A6,A32,A65,615.0,693.0,3.0
5,11.0,21.0,A6,,A40,915.0,978.0,-13.0
5,12.0,27.0,A2,A55,A46,480.0,,-3.0
5,11.0,8.0,A12,A45,A62,604.0,816.0,-11.0
5,1.0,12.0,A13,A66,A21,935.0,1102.0,22.0
5,5.0,17.0,A3,A67,A29,978.0,1054.0,-12.0
5,8.0,30.0,A4,,A0,1050.0,1104.0,-22.0
