NC_project_short_code,sample_type,year,month,day,Site,Cell,depth_zone,level,transect,species_classcode,count,fish_tl,observer,depth,vis,temp,surge,heading,notes
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,SMEL,2,39,Franklin Moitoza,6.7,6,11.1,M,180,NA
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,SMYS,9,7,Franklin Moitoza,6.7,6,11.1,M,180,NA
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,SCHR,1,28,Franklin Moitoza,6.7,6,11.1,M,180,NA
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,SMAR,1,34,Franklin Moitoza,6.7,6,11.1,M,180,NA
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,HDEC,1,19,Franklin Moitoza,6.7,6,11.1,M,180,MALE
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,HDEC,1,12,Franklin Moitoza,6.7,6,11.1,M,180,MALE
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,HDEC,1,29,Franklin Moitoza,6.7,6,11.1,M,180,MALE
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,HDEC,1,17,Franklin Moitoza,6.7,6,11.1,M,180,FEMALE
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,HDEC,1,21,Franklin Moitoza,6.7,6,11.1,M,180,MALE
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,ELAT,1,27,Franklin Moitoza,6.7,6,11.1,M,180,NA
NC_Kelp_Srock,FISH,2014,7,22,Abalone Point,1,8,B,1,ELAT,1,31,Franklin Moitoza,6.7,6,11.1,M,180,NA
NC_Kelp_Srock,FISH,2015,7,6,Abalone Point,1,8,B,1,SMEL,15,9,Johnathan Centoni,6.7,5,12.2,M,0,NA
NC_Kelp_Srock,FISH,2015,7,6,Abalone Point,1,8,B,1,SMEL,1,12,Johnathan Centoni,6.7,5,12.2,M,0,NA
NC_Kelp_Srock,FISH,2015,7,6,Abalone Point,1,8,B,1,SMYS,1,12,Johnathan Centoni,6.7,5,12.2,M,0,NA
NC_Kelp_Srock,FISH,2015,7,6,Abalone Point,1,8,B,1,SMYS,5,9,Johnathan Centoni,6.7,5,12.2,M,0,NA
NC_Kelp_Srock,FISH,2015,7,6,Abalone Point,1,8,B,1,AOCE,1,80,Johnathan Centoni,6.7,5,12.2,M,0,NA
