NC_project_short_code,site,year,month,day,transectnumber,species,size,depth_m,visibility,temp10m
NC_CitSci_Kelp,Caspar,2014,7,12,1,red abalone,6,6.7052727827,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,2,red abalone,8,7.1624504724,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,2,red abalone,14,7.1624504724,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,2,red abalone,15,7.1624504724,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,2,red abalone,18,7.1624504724,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,12,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,12,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,12,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,14,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,14,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,14,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,22,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,26,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,3,red abalone,26,3.9622066443,4.7,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,7,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,7,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,8,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,8,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,9,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,10,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,10,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,10,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,12,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,12,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,13,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,13,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,15,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,15,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,15,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,15,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,15,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,15,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,17,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,18,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,20,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,20,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,20,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,20,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,20,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,25,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,4,red abalone,25,5.63852484,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,8,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,10,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,12,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,15,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,15,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,18,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,20,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,20,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,20,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,5,red abalone,22,7.3148430357,6.3,11
NC_CitSci_Kelp,Caspar,2014,7,12,6,red abalone,5,7.6196281621,6.3,11
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,10,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,11,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,11,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,11,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,11,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,12,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,13,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,13,4.5717768973,5,9
NC_CitSci_Kelp,Caspar,2015,7,25,1,red abalone,14,4.5717768973,5,9
