NC_project_short_code,site,year,month,day,transectnumber,classcode,sex,amount,size_cm,size_min_cm,size_max_cm,depth_m,visibility,temp10m
NC_CitSci_Kelp,Caspar,2014,7,12,1,barred sand bass,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,black and yellow,none,1,22,22,22,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,black perch,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,black rockfish,none,5,17.5,15,20,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,blacksmith,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,blue rockfish,none,8,17.5,15,20,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,blue rockfish,none,1,20,20,20,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,blue rockfish,none,3,21.5,20,23,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,blue rockfish,none,6,17.5,15,20,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,blue rockfish,none,1,10,10,10,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,bocaccio,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,brown rockfish,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,cabezon,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,china rockfish,none,1,6,6,6,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,copper rockfish,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,garibaldi,a,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,garibaldi,j,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,gopher rockfish,none,1,24,24,24,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,grass rockfish,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,horn shark,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,kelp bass,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,kelp greenling,f,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,kelp greenling,j,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,kelp greenling,m,1,30,30,30,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,kelp rockfish,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,lingcod,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,opaleye,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,pile perch,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,rainbow perch,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,rock greenling,none,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,rock wrasse,f,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,rock wrasse,j,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,rock wrasse,m,0,,,,6.71,5,11
NC_CitSci_Kelp,Caspar,2014,7,12,1,rubberlip perch,none,0,,,,6.71,5,11
